"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 09 23:44:45 GMT 2025","Fri May 09 23:44:54 GMT 2025","9370","","Tests.NavigationTests","","Tests.NavigationTests","getTitleTest","проверка title",""
"passed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:54 GMT 2025","8276","","Tests.NavigationTests","","Tests.NavigationTests","logoClickTest","проверка logo click",""
"passed","Fri May 09 23:44:45 GMT 2025","Fri May 09 23:44:51 GMT 2025","6187","","Tests.NavigationTests","","Tests.NavigationTests","basicStateValuesTest","проверка значений направляющих кнопок в исходном состоянии",""
"passed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:52 GMT 2025","6499","","Tests.NavigationTests","","Tests.NavigationTests","transitionToThirdTestPage","проверка значений направляющих кнопок и переход на третью страницу",""
"passed","Fri May 09 23:44:45 GMT 2025","Fri May 09 23:44:49 GMT 2025","3657","","Tests.NavigationTests","","Tests.NavigationTests","getDevelopersPageLink","проверка developer's page link",""
"failed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:56 GMT 2025","10138","","Tests.LoginFormTests","","Tests.LoginFormTests","signInTest","Проверка проведения авторизации",""
"passed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:49 GMT 2025","3937","","Tests.NavigationTests","","Tests.NavigationTests","transitionWithNextButtonTest","проверка перехода с помощью направляющих кнопок",""
"passed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:51 GMT 2025","5011","","Tests.NavigationTests","","Tests.NavigationTests","getSubtitleFromHeaderTest","проверка subtitle in header",""
"passed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:55 GMT 2025","9442","","Tests.NavigationTests","","Tests.NavigationTests","transitionToSecondPageTest","проверка значений направляющих кнопок и переход на вторую страницу",""
"passed","Fri May 09 23:44:46 GMT 2025","Fri May 09 23:44:50 GMT 2025","4486","","Tests.NavigationTests","","Tests.NavigationTests","getCopyRightText","проверка Copyright",""
"passed","Fri May 09 23:44:45 GMT 2025","Fri May 09 23:44:47 GMT 2025","2482","","Tests.LoginFormTests","","Tests.LoginFormTests","InvalidSignInTest","Проверка провала авторизации",""
